Celltype_Source_ID,Genes
MPP,"ADCY3,CRHBP,ERG,CAPRIN1,P2RX1,SERPINI2,TEC,TIE1,UMPS,MLF2,ZNF282,NSMAF,USP6,MED7,H2AFY,PPM1F,PARP2,MRPS31,CALCOCO2,TMEM147,SF3A3,CSTF2T,LSM5,ATXN10,HIBCH,ATP2C1,ZNF219,TAOK3,PTRH2,TBC1D13,TMEM70,ATP5SL,WDR60,DPPA4,AGK,MKL2,BAHCC1,ALG8,CENPO,SPAG16,UBA5,SFXN3,FAM136A,G6PC3,HNRNPA3,DPY19L4,ABO,AIF1,AMD1,ATP5J,AVP,BTF3,ERCC8,CLNS1A,CPA3,CRYGD,DNTT,DUT,FANCA,HINT1,IGLL1,EIF3E,ITGA9,LRCH4,MPL,MPO,NACA,NFYA,NPM1,NUP98,PIGF,PRTN3,PSMA2,PSMA6,RAG2,RBBP7,RFC2,RNASE2,RNASE3,RPS3,RPS24,SMARCC2,SNRPF,TERT,TRH,TSSC1,TTF1,ZNF32,ZNF35,ZNF134,CD164,GALR2,CDC123,PMPCB,TATDN2,KIAA0125,EIF1B,PPIH,ANP32B,ERLIN1,AKAP13,ESYT1,HAUS5,NAT6,INVS,LSM1,BZW2,GLTSCR2,RSL24D1,ZNF639,REV1,TEX10,SRBD1,NHP2,PCID2,NSFL1C,TMEM9B,TFB2M,GGCT,MAP7D3,MTDH,IMP4,IGBP1,IMPDH2,NUBP2,ZDHHC6,CSPP1,AZU1,FLT3,SPN,VPREB3,CD37,CD52,CSF2RB,CSF3R,CTSW,FCER1A,GATA1,HBB,HBD,HDC,HLA-DOA,ITGA2B,ITGAL,JAK3,CIITA,NKG7,OSM,PIK3CG,PLCB2,PRKCB,PTPN6,PTPN7,PTPRC,PTPRCAP,SELPLG,GFI1B,S1PR4,BAIAP3,ACAP1,TSPAN32,IKZF1,KLF1,MLC1,CD244,ARHGAP15,DPEP2,DOK3,TRAF3IP3,AGAP2,FMNL1,IRF5,LST1,CD300A,SASH3,ATP8B4,CD53,NCKAP1L,LAIR1,MYO1F,NCF4,SPI1"
MSC,"HTR7,MMP17,PLA2G5,CDKL5,PKD2L1,ADAMTS12,ZNRF4,CTRB2,PRB3,CCL21,TNP2,ZNF408,COL10A1,DVL1,HAS1,NPAS1,WISP1,TRIM3,COPS8,TSSK1B,DCTD,DDOST,EEF1D,KIF22,LAMP1,NDUFA8,PARN,POLR2G,SLC35A2,HAND2,EIF4E2,CUL7,SCAMP3,STUB1,TMEM147,YIF1A,RER1,EMILIN1,SNF8,CABIN1,MKRN2,SPCS1,TRMT112,ZNF446,PRX,MRPS11,CUEDC2,SPAG16,MRPL24,TBC1D17,NHEJ1,PODNL1,SF3B5,THAP3,SLC38A10,SIX5,ATP6V1C1,CYC1,ERCC1,GSTM5,HIC1,IMPDH1,MDH2,NDUFB4,NFATC4,PTPN11,RPL8,RPN1,AAAS,TMEM11,BAG3,RNF7,SNX17,RNF41,TIMM44,VTI1B,KDELR1,LMAN2,COPZ1,HMGXB3,CLUAP1,IQSEC2,PMPCA,LMOD1,TMEM184B,TCTN3,TIMM10,MRPS18B,GMPPA,STOML2,CYHR1,ARL6IP4,ZNF771,MRPS17,CUTA,TMEM161A,COMMD4,CPSF3L,OGFOD1,LRRC59,C7orf26,TMEM223,INTS5,MFSD5,GTF2H5"
mv Endothelial cells,"ACVRL1,ANGPT2,SLC25A6,RHOC,TSPO,CAV2,CCNG1,CD34,CETP,COX4I1,CSNK2A2,DYNC1LI2,ECHS1,FDPS,FLT4,GJA4,GOLGA3,GOT2,HADHA,HCFC1,HCRTR1,HOXD3,ILF2,ITGA9,KDR,LGALS1,NOTCH4,NOVA2,PLXNB3,MAPK3,PRPSAP1,PSMB7,PSMC5,PSMD8,RALA,RANGAP1,MAPK12,SELE,SH3GL1,SMARCD1,SMARCE1,SUMO3,SNAPC4,SNTB2,TARBP2,TBX1,TEK,TIE1,CLDN5,TPM3,UBE2E1,UFD1L,VWF,YWHAE,ZNF205,CLPP,ZNF282,SCARF1,HYAL2,MBTPS1,PABPC4,RGS11,BANF1,EIF2B2,MTMR2,BCL10,TNFSF18,DYRK1B,COX7A2L,SLC24A1,GTF3C5,VAMP3,TAOK2,EI24,PPM1F,DHX38,KEAP1,MED16,NUBP2,ACTR1A,TXNDC9,RAMP3,PCGF3,LYPLA1,STK25,SEMA6B,DCTN2,HTATIP2,GIPC1,LYVE1,RNPS1,COPS6,RAB35,TMEM115,STRAP,ATXN2L,LYPLA2,TUSC2,RRAS2,ARHGEF15,RALY,TTLL5,N4BP3,STAB1,ZC3H7B,SUN1,ABCB9,KCTD2,DNPEP,EDC4,MTCH1,MTCH2,PRKD2,GPKOW,CECR5,MRPS28,GIT1,MRPL15,CNIH4,F11R,MRPS16,CLEC1A,BFAR,GMPR2,PCDH12,PIAS4,FAM96B,HSPB11,EMCN,SOX18,ROBO4,NDUFB11,DEF8,CPSF3L,EXD2,CHST12,LMBR1L,UBAP2,CISD1,METTL3,INPP5E,CIAPIN1,FN3K,MMS19,RNF25,WDR13,TUT1,MRPL9,SPATS2,DDA1,DCTPP1,FAM65A,CXorf36,GEMIN7,MMRN2,FAM124B,EDC3,MYCT1,GFOD2,URM1,FRMD8,MTG1,FTSJ3,SAMD14,ZDHHC24,KANK3,ATP1B3,BYSL,CDC27,CLIC1,COPA,GDI2,GYG1,LAMP1,MTHFR,MYL6,NAP1L4,NDUFC2,PLD2,POLR2F,ABCD4,RPL4,RPN2,SSBP1,TIAL1,ZFPL1,TXNL1,EIF4E2,DCAF7,KAT5,FRS3,ATF7,EXOC7,SIN3B,STX12,PGLS,TBC1D10B,FBXO22,AHDC1,EIF3K,UBIAD1,UBXN1,THAP4,TACO1,INPP5K,GPN2,C19orf24,ZWILCH,TMEM39B,ENOPH1,CCDC90B,MOSPD3,ELOVL1,MUL1,GSDMD,TOR1AIP2,SENP5,TIPRL,ART4,ARVCF,BMX,CALM1,CASP10,CAV1,CD9,ENTPD1,CDK9,CSF2RB,CTNNA1,ACE,ELK4,ERG,ERH,FLOT2,FLT1,GABPB1,HDAC1,HTR1B,IL3RA,LYL1,MAP3K3,MGAT5,NCK1,PNP,PDCL,PIK3CG,PLCG1,RALB,TAL1,ZNF22,HERC1,ATP6V0E1,LRRFIP1,SEMA6C,MYL12A,TFEC,MMRN1,CD93,ATF6,TDRD7,TSPAN13,MAT2B,SPTBN5,RASIP1,GIMAP4,LSG1,NECAP2,ANO2,KIF17,TMEM109,RNF34,PLVAP,CEACAM21,GIMAP6,NPR1,ACTG1,ADRA1B,ANXA2,ARF1,RHOA,ATP2B3,PTTG1IP,CCKAR,AP2M1,CLTA,CPA1,DAD1,DLST,DYNC1H1,EIF4G1,FOXC2,GPR4,HSPA4,HSP90AB1,MAGEB1,MIF,MIP,42980,NEDD8,OXA1L,P4HB,PLS3,POLR2J,PPP2R1A,PPP2R2A,PSMD1,PSMD10,RCN2,SLC6A7,TAF12,TJP1,DNAJC7,KCNAB1,USP5,AKAP4,MED20,SAE1,ABCF2,B3GALT5,CLEC4M,GLRX3,ARPC1A,YKT6,ACTL7A,CAPN11,PWP1,CDC37,FAM107A,ECD,NCBP2,GANAB,PMPCA,NUP188,CLDN14,ARL2BP,PRND,PITPNB,TRPC4AP,NOC2L,FOXD3,TRAPPC3,SEC61A1,CHCHD2,SNTG2,DDX56,TMED9,FNDC8,COMMD4,C1orf123,AURKAIP1,UNC45A,PCDHA6,C16orf62,LYZL6,MRPL17,LRRC3,DCTN5,YIF1B,POM121L2"
Myocytes,"EVC,SMAD5,MUSK,SGCA,SIM1,BAG2,SHQ1,IMPACT,EXOC1,KRTAP1-1,COPB1,MYF5,MAP3K7,DENR,XPNPEP3,PRRC1,ACTG1,ALDOA,ANXA5,ARF4,CAD,CAST,CAV1,CAV3,CCNG1,CCT6A,CDH15,CHRNG,CLTC,COX8A,CSNK1G3,DCTD,DDOST,TOR1A,EIF4EBP2,EPRS,ERCC4,GDI2,GLE1,GNAS,GRSF1,GTF2H1,HIF1A,HRC,HSPA8,IDUA,KIF2A,TNPO1,LAMP1,LGALS1,SMAD2,MIF,MKLN1,MMP11,MSH3,MYBPH,MYOD1,NDUFA10,42980,NONO,PAFAH1B1,PARN,PCDHGC3,SLC25A3,PLXNB3,POLR2J,PSMB4,PTPN11,RAPSN,RCN2,RPN2,FBXW4,SPG7,SSR4,SS18,STAU1,TIAL1,UBE3A,COL14A1,ZNF37A,ZNF221,ZNF214,RAB7A,WISP1,EIF2S2,USP14,BAG5,PREPL,SNX17,UBAP2L,UBA2,RAD50,LRPPRC,MPHOSPH6,ZMPSTE24,BCKDK,YAP1,CDIPT,TMEM147,IPO7,PTGES3,FRS2,CPSF4,COPS8,SPIN1,AFG3L2,HNRNPA0,ERP29,METAP2,XPOT,HMGXB3,CLUAP1,POFUT2,DNAJC16,HARS2,POFUT1,ARL2BP,MKRN2,TXN2,IBTK,TCTN3,FBXL4,MYOF,RPS6KC1,RNF11,NPTN,SND1,HSPB7,TUBG2,VPS4A,NFU1,UTP20,MCTS1,MYLPF,EPN1,SEC61A1,MRPS16,IFT52,METTL9,MBTPS2,UCHL5,RWDD1,AMOTL2,ERGIC3,UBE2D4,CMPK1,NUDT9,NUP54,GPR173,RC3H2,CHCHD3,FAM120C,ZDHHC4,SLC38A7,ADI1,QRSL1,NOP10,HIF1AN,ZNF446,PEX26,IARS2,SPATA7,ACTR10,DNAH7,SPPL2B,PRX,EDA2R,CCDC90B,GUF1,PKNOX2,NUCKS1,FAM160B2,DCLRE1B,MRPS11,C2orf47,SPAG16,PALB2,TBC1D17,ZNF668,METTL8,C10orf88,MYO19,RUFY1,INTS5,TM2D1,ACTR8,SLC38A10,MYL6B,YTHDF3,ALPL,CASQ2,DES,HAS1,MYH7,MYL1,MYL4,MYOG,TNNI1,TNNT2,TTN,ACTA1,ACTN2,CKM,MSTN,MYH1,MYH2,MYH8,ROS1,SGCG,SLN,TNNC2,ATP1B4,HEYL,ITGB1BP2,GSG1"
naive B-cells,"BLK,CXCR5,CD19,MS4A1,CD72,SPIB,TCL1A,FCRL2,CD22,CD79B,CCR6,GPR18,CD180,MGAT5,MBD4,TSPAN13,UTP6,TREML2,CD37,CD79A,CSNK1G3,DSP,FCER2,GMFB,PNOC,SNX2,GCM1,AP3B1,STAG3,PRDM4,PWP1,RRAS2,GGA2,SIPA1L3,STAP1,P2RY10,DEF8,MFN1,EGOT,CD1A,VPREB3,CAPN3,HSPA4,SP140,C10orf76,SMC6,MCM9,BMP3,CACNA1F,COL19A1,DAZL,GNG3,MATN1,MAP3K9,MMP17,MYBPC2,PAX5,PHKG1,PYGM,ZNF154,PRDM2,USP7,SYN3,ADAM20,USP6,AKAP6,TCL1B,BCL2L10,FRS2,TCL6,MYO3A,SDK2,WDR74,UBE2O,RBM15,KHDRBS2,RERE,GH1,HLA-DOA,LY9,CIITA,PGAM2,POU2F1,PRKCB,RB1,TRA2B,SLC30A4,CUBN,CDK13,PTCH2,TBC1D5,BCL2L11,N4BP3,SNTG2,NOC3L,TRAPPC9,PIKFYVE,42802"
Neurons,"EPHA3,GNG3,INSM1,KCNQ2,NEUROD2,PCDH8,ACTL6B,CAMKV,STMN4,ABCA3,ACVR2B,ADRA2A,CACNA1B,CACNB3,CHRNB2,CPE,CRABP1,CRMP1,NCAN,CTNNA1,EFNB3,CELSR3,ELAVL3,FOXG1,GAD2,GAP43,GEM,GRIK3,GRM2,ID1,IREB2,KCNN1,KCNQ3,KLC1,MEIS2,MLF1,MLLT3,MN1,CD200,MVD,NNAT,NPY,NPTX1,NTRK3,PLXNA2,POU3F1,POU3F2,POU3F3,PKIA,MAPK8,PTPRZ1,PTX3,RPE65,SCN3A,CXCL12,SFRP4,SH3GL2,SH3GL3,SOX4,SOX11,SPAST,ZNF354A,THRA,ZFP37,ZNF711,ZNF14,ZNF43,ZNF195,ZNF223,TUBA1A,ST8SIA4,PDHX,ST8SIA2,HIST1H3D,DCHS1,STX16,B3GALT2,CDK5R1,BSN,HAP1,CYTH2,LHX2,IPO13,NUP93,TSPAN2,CFDP1,SEMA6C,ZNF211,IFI44,DPYSL4,SCGN,PNMA2,ZBTB6,MLLT11,TMSB15A,STMN2,C14orf1,ZFP30,ZNF510,WDR47,KIF21B,ARC,KIAA1107,AGTPBP1,CUX2,SEZ6L,SULT4A1,SETBP1,LRRTM2,RANBP6,CACNG5,CACNG4,PDLIM3,PCSK1N,KCNMB4,SCG3,HUNK,PODXL2,PARD6A,ZNF117,GPR173,FAM105A,LRRN3,FNBP1L,ENOX1,AGPAT5,AP1AR,ZNF821,ANKRD10,ZNF415,BEX1,PCDHB11,ZNF253,C21orf62,KCNK12,ZNF529,PTBP2,ZBED5,NEUROG2,NEUROD6,REEP1,RASL11B,GDAP1L1,NKAIN1,RNF219,ZMAT4,VASH2,ZNF669,PGAP1,ZNF606,ZNF614,ZNF430,ZSCAN16,ZNF34,ZNF484,YIPF4,MUM1,C16orf45,ZNF682,C1orf216,EMID1,PAQR3,ZNF675,TET3,KCTD13,ZNF493,ALDOC,ATP1A3,ATP1B1,ATP2B2,ATP6V1G2,CA8,CACNB4,CALB1,CAMK2B,CDH18,COX7A1,COX7B,DGKB,DEFB1,DLG2,DPP6,FABP6,FGF9,FGF12,GABBR1,GABRA1,GABRB2,GABRG2,GAD1,GNAO1,GPM6A,GRIA2,GRID2,GRIK1,GRM1,GRM7,ID2,ITPR1,KCNC1,KIF5C,LPL,MT3,NDUFA5,NEFM,NEFH,NELL1,NEFL,NPPC,OMG,PCDH9,PCP4,SERPINI1,PRKCG,PTPRR,PVALB,RGS16,RORA,RTN1,SLC6A1,SNAP25,SNCG,SYP,TAC1,SEC62,TSPAN7,TRPC3,ZNF208,AP3B2,SPARCL1,CACNA1G,INA,NRXN1,ELMO1,SNAP91,C1orf61,CNKSR2,FAIM2,ARHGAP26,FSTL4,ACSL6,SMPX,SLC24A2,DDX25,SPOCK3,ST8SIA3,GPRC5B,GNG13,TM6SF1,FXYD7,IL20RA,SUSD4,PRMT8,DNAJC12,ANKS1B,PLXDC1,SLC12A5,KLHL1,GPR63,TRIM9,TCEAL2,SHISA6,ACYP2,AGTR2,ATP1B2,ATP2A3,CA7,CACNA1A,CACNB2,CHGB,DAB1,DACH1,DGKG,DYNC1I1,FABP3,FGF14,GABRB3,GNG4,GRIA3,HSBP1,HTR5A,KCNA2,KCNK1,KIF5A,KPNA5,NAP1L2,NCAM1,NDUFA3,NDUFA4,NELL2,NRCAM,PDE9A,PEG3,PPP3CA,MAPK10,RAB3A,RGS7,RYR2,SCN1A,SCN2A,SLC1A6,SLC8A1,ABCC8,VAMP2,KCNAB1,PIP5K1B,PPFIA2,SYNJ1,CACNA2D2,CPNE6,RAB33A,NRXN3,AKAP7,GABBR2,GPRASP1,JAKMIP2,SAP18,CORO2B,ATP5L,KIF3A,HHLA3,MGAT4A,GABARAPL2,KIFAP3,SV2C,MYT1L,DNM3,GALNT8,CLUL1,PCDH17,GOLIM4,PCLO,NDUFAF4,NME7,PIGP,BCL11A,FAM134B,LRRC49,CISD1,TTYH1,NDRG4,FAM184A,ZNF385D,MAP9,CEP76,HOPX,IQCK,RALYL,THSD7A,LPCAT4,FAM21A,ANK2,CHN1,FABP7,GPM6B,LHX1,NOVA1,PTPRN,SORL1,NME5,SPOCK2,RCAN2,KLK8,SOSTDC1,SNX10"
Neutrophils,"CA4,CEACAM3,FCGR3B,CXCR1,CXCR2,PGLYRP1,MMP25,ZDHHC18,TRPM6,VNN3,P2RY13,APAF1,CBL,CSF2RB,DDX3X,FCAR,FPR2,NFYA,PAK2,PTEN,SLC19A1,UBE2B,BEST1,ELL,MTMR3,HERC3,SLC25A44,DHX34,TOX4,TECPR2,WWP2,LMTK2,WDFY3,MED13L,ACAP2,CLEC4E,UBN1,NRBF2,TREM1,HRH4,RMND5A,TMUB2,TMEM185B,GCC1,TREML2,BTNL8,NDEL1,UBXN2B,CASP5,CEACAM8,MAK,SDF2,TGM3,TOP1,UBE2D1,TRIM25,KSR1,SPAG9,NMI,CIR1,TTLL4,IP6K1,USP15,CAMKK2,LILRA1,BTN2A1,PADI4,FBXO38,CLC,CSF3R,HBB,S100A12,HSPA6,LILRB2,LILRA2,MEFV,BMX,AATK,GPR27,IL18RAP"
NK cells,"FASLG,KLRD1,PTGDR,PTPN4,XCL1,TKTL1,IL18RAP,NCR1,ZMYND11,SACM1L,CD244,AGK,DNAJB14,CX3CR1,GZMB,GZMM,IL2RB,KPNB1,MED1,PRF1,MAPK1,BRD2,MAP3K7,TNFSF11,ZNF264,STX8,PJA2,HELZ,GNLY,STAG2,ZBTB1,TBX21,RAB14,FIP1L1,ARPC5L,HIPK1,CD247,CTSW,LTA,ZNF426,GRIK4,LIM2,NMUR1,CD160,BAD,42985,CHRNE,DR1,GIPR,GOLGA4,GZMH,HNRNPL,IFNG,LAG3,MGAT2,MLH1,NEK1,NFE2L2,NKG7,PPP2CA,PRKAG1,SON,SUPV3L1,TBCC,PRDM2,HIST1H3A,PRDX6,YAF2,KLRG1,SF3B4,GNA13,GPATCH8,DNAJC2,ASTE1,ANKRD11,AMZ2,THAP1,UBE2Q1,CDKN2AIP,RBM25,OSBPL7,TSTD2,NCR3,C1orf174,GTF3C1,FBXW4,TSPYL1,RGS9,RBM39,ZCCHC11,LEMD3,IL21R,WBP11,RSRC2,ALG13,COQ10B,SBF1,CCL4,GGPS1,ZBTB39,WDR45"
NKT,"CASP5,PHKG1,RARA,S100B,BEST1,DOLK,TP53TG5,GMIP,GSG1,AMBN,SGCA,TCOF1,IL17B,L1TD1,ARPC1A,KLHL26,GEMIN7,PMFBP1"
Osteoblast,"BMPR1A,COMP,DCTD,DYNC1LI2,EPYC,GRSF1,IBSP,MFAP3,PRELP,SGCG,UBE2L3,COL14A1,ITGA8,EIF2S2,KIF3B,LAPTM4A,APPBP2,MAB21L2,ILVBL,XPOT,DOLK,ICMT,TMEM50A,CBY1,RPS6KC1,COPS7A,MYOZ2,NUDT9,RNF121,LIN7C,DHX32,IL26,STARD7,C5orf15,PAPPA2,EBF2,ATG9A,MUL1,TM2D3,UNC119B,LRRC15,ARCN1,HTR2A,PSMB5,EIF4E2,FRMPD4,YME1L1,NPLOC4,FTO,FAM168B,YIPF6,HLCS,SGCD,YAP1,TRIM32,ZNF629,MKRN2,TRAF3IP1,AMOTL2,KCMF1,CCDC47,TMEM185B,DPY19L4,ACTG1,RHOA,CCKAR,EXTL1,FOXC2,GGCX,GLUD1,HIST1H1A,NFATC4,PGK1,SLC9A5,TUB,ZNF16,GDF5,SSNA1,EIF3G,FIBP,LONP1,ABCF2,RNF41,ARPC1A,TXNL4A,TRPC4AP,CHMP2A,ARL6IP4,TMED9,GLT8D1,PCDHGA11,IFT46,CUEDC2,FIP1L1,SFXN3,TMEM222,AP2S1,ATF6B,DPAGT1,DRG2,HARS,IARS,EIF6,KIF22,SSR1,ZFPL1,AKR7A2,COX7A2L,SNX17,SNUPN,PARK7,EXOC7,ABCB9,MTCH1,LMOD1,HSPB7,EPN1,PRDM11,C12orf43,ZNF768,CPSF7,BRIP1"
pDC,"APOC3,CSHL1,DNASE1L3,GZMB,HIST1H2BB,HPD,KCNA5,SCT,P2RY14,LILRB4,CUX2,LRRC36,RPL3L,CACNB1,FKBP2,IL3RA,MYBPC1,SLC12A3,SPIB,ZNF221,MAPKAPK2,CXCL13,SLITRK3,TSPAN13,SPCS1,TLR7,KCNK10,KCTD5,CELA2A,CCR2,FLT3,FUT7,IDH3A,CD2AP,PTCRA,RUNX2,CXCR3,TACR1"
Pericytes,"ADCY3,CDK4,GGCX,HIC1,MLLT1,MYBPC2,P4HB,MAPK3,PTGER1,SLC6A13,TAF15,DYNLL1,ASH2L,ZBTB22,S1PR2,BCKDK,COPS6,TMED1,CBX6,TXN2,TMEM184B,ERGIC3,MIER2,ZNF444,PRDM11,ARF5,ARNT,ATP5G1,ATP5J,CALR,CTBP1,DMWD,ELK1,ISLR,KIF22,MMP11,MYBPH,NDUFB1,NDUFB7,NNAT,PFN1,PPP2CB,PPP2R5D,PSMD8,TRIM27,TNXB,SLC35A2,ZFPL1,LZTR1,AKR7A2,AP3D1,KCNAB3,MED16,CTDSP2,ARFRP1,RNF41,TAB1,TIMM44,TM9SF1,TRIM3,GIPC1,YIF1A,KDELR1,LMAN2,RAB35,TMEM115,LZTS1,WDR6,COPZ1,MLXIP,RALY,CIC,USP22,LMOD1,ZNF500,IRF2BP1,ERAL1,VPS4A,AHDC1,C19orf53,MYLPF,GMPPA,GAR1,TMEM161A,ATP5SL,PCDHGA9,PKNOX2,C11orf95,C7orf26,TSEN34,TMEM185B,ZNF768,HPS6,ADAMTS12,IL17RC,TOM1L2,TXLNA,BCS1L,DPAGT1,GNAS,DNAJC4,NDUFA8,NDUFS5,PPIB,PSKH1,RAB5B,DPF2,RPN1,RXRB,SH3GL1,SLC6A4,SSR2,USP5,CDK10,KHSRP,EDF1,SEC24C,SNX17,SEC16A,42987,EHMT2,TCF25,GANAB,SMG5,SIRT3,PES1,POFUT1,DNPEP,CBY1,CHMP2A,SGSM3,REM1,ZNF771,CUTA,GPR173,DDX49,PACS1,PCDHGB5,OPA3,UBXN6,FLT1,GDNF,HTR2B,P2RX1,POU2F2,MASP1,KSR1,HAND2,ADAMTSL2,COLEC10,BTN2A1,KIF26B,COL10A1,SLC31A1,DSCR4,IGF2BP3,ABTB2"
Plasma cells,"AMPD1,TNFRSF17,FKBP2,PNOC,SSR4,RNGTT,SPATS2,UBA5,ZBP1,ALPI,AVP,BMP8B,C21orf2,CAMP,CASP10,CCNC,CD27,ENTPD1,CD79A,CDH15,COX6A2,CRYBB1,CRYBB3,CRYGC,CYP11A1,EPO,GDF2,GOLGA3,GOLGA4,GRM4,GUCA1A,HIST1H2BB,HSF4,HSPA6,IDE,IRF4,KCNN3,MARS,MGAT2,NEUROG1,NOS2,NPAS1,NPPA,NPPC,PRM1,PTPRS,RAB3A,RAD17,RGS1,RGS13,RPN2,CCL25,SLC5A2,SRP54,SS18,SYT5,TG,SEC62,TNNT3,HSP90B1,UBE2G1,ZNF133,RNF113A,RNF103,MANF,ITGA8,B4GALT3,MBTPS1,MATN4,EBAG9,HAND2,TBX4,CLINT1,KNTC1,KIAA0125,DMTF1,PREB,SLC35B1,MRPS31,CNKSR1,SEMA6C,PRDX4,LBX1,AVIL,SEC24A,TMED10,ZPBP,WDR45,TREH,FNDC3A,ATF6,MAST1,MAPK8IP3,UBXN4,SCFD1,CUX2,AIPL1,GORASP2,TBL2,DKKL1,NDOR1,SERP1,ARHGEF16,MCTS1,ALG5,GMPPA,SHANK1,CELA2B,YIPF1,LAX1,CCDC40,TMEM39A,UFSP2,CCDC88A,LTB4R2,PRX,SRPRB,PRDM14,MAGEF1,CHST8,PDIA2,MIS12,CCDC121,ADM2,CNTD2,CCDC33,TRABD,STMN4,SLCO5A1,GRWD1,USP48,MTDH,IMP4,SIX5,APOA1,APOC3,ARL1,PHOX2A,ARSA,AUP1,CA7,CACNA1S,CAV1,CD19,CD79B,CHRNA4,CHRNG,CLCNKB,CRYBA4,CSHL1,CYBA,DAD1,DDOST,DNASE1L2,DPAGT1,DRD4,DRD5,FGF6,GH2,GNB3,GOLGB1,GP9,GRIN1,HDLBP,DNAJC4,IGF1,KRT10,CD180,MYL2,NTRK1,P2RY4,PDE6A,POMC,POU3F3,PPIB,PTGER1,RFX2,RPN1,SHBG,SLC6A13,SMPD2,SNAPC4,SSR1,SURF1,T,TERT,LEFTY2,TP73,TSHR,VPREB1,ZNF37A,ZNF142,ELL,BFSP2,UTF1,MYH13,PABPC4,FBP2,SLC13A2,KCNQ4,GPR37L1,PICK1,TMEM59,CUL7,PDIA6,TIMM17B,CNPY2,TM9SF1,FTCD,SEC61B,LMAN2,KDELR2,SEC63,RALY,SIPA1L3,DDN,ABCB9,ISCU,SEC61G,TNFRSF13B,TSSK2,PPIL2,HEYL,SPCS1,SAP30BP,VPREB3,SEC61A1,RAX,VSX1,SLC35C2,THAP4,IFT52,ERGIC3,TMED9,DEF8,RASIP1,ZDHHC4,C19orf73,GPRC5D,NGLY1,GLT8D1,PCDHA5,IRGC,UGGT1,MYL7,ACBD3,KLC2,YIPF2,FCRL2,OGFOD2,LMAN1L,ALG9,CSPP1,DOK3,C6orf25,CEACAM21,SLC38A10,R3HCC1,MIA3,RNF208,GABRR2,GPLD1,KLF15,FN3K,CNR1,TCF3,WNT1,HOOK2,C16orf58,ACBD4"
Platelets,"ADCY8,ALOX12,APOA1,ARHGAP6,AVPR1A,BMP8B,BNIP2,CASQ1,CETP,COL10A1,GNAS,GNB3,GP1BA,GP5,GPR3,GPR17,LPAR4,HPCA,HSD17B3,IL5,ITGA2B,KIF2A,LCN1,LIMS1,SMAD2,MAN2A2,MAX,MEA1,RAB8A,CIITA,MPL,MUC6,NPPA,SIX6,PDE6A,PDE6H,PF4V1,PHKB,PITX3,PLXNB3,PPM1A,PPY,PRKCG,PTPRA,RNF2,RPA1,SELP,SLC6A4,NEK4,TACR2,TAL1,TG,TNNC2,CRISP2,VCL,VDAC3,XPNPEP1,ZNF37A,ZNF214,ST7,NCOA4,CDK2AP1,HIST1H2BO,SNX3,MYOM1,KSR1,ASAP2,ENDOU,RNF8,CHD1L,RGS6,SEC14L5,SNPH,TLK1,TECPR2,RNF10,TRIM10,HTATIP2,AKAP3,LEFTY1,IGF2BP3,CD160,PARK7,ACSBG1,ARHGEF12,TMEM50A,FBXO9,RNF11,DNAI1,MLH3,EIF2AK1,MORC1,LSM1,RABGEF1,RAX,KLK14,DERA,PHF20L1,RDH11,GP6,CLEC1B,TAOK3,BIN2,NCKIPSD,UIMC1,CMPK1,TUBA8,RNF186,L1TD1,BEST2,TXNL4B,CCDC40,ADI1,WDR11,ACTR10,NXF3,PCDHGB5,PCDHGA1,CABP5,ANO2,LRTM1,NEUROD4,PCTP,CHST8,ARMC7,SYNPO2L,PANK2,RUFY1,ULBP1,TUBB1,ASB8,PTCRA,AMD1,ANXA7,CETN2,DPYS,EGR4,F13A1,GP9,GRIK1,FOXO4,MTR,NOS2,ODC1,PTGDR,RHCE,RIT2,SLC18A2,NCK2,TCAP,PEX11B,ADIPOQ,ZNF592,NR2E3,MYL12A,PGRMC1,PDCD10,SNW1,SLC16A8,FAM32A,IPCEF1,LSM14A,NPTN,CEND1,C7orf43,KCMF1,PRX,NPFFR1,NPVF,ADIPOR2,ZMYM1,TRAPPC9,USP12,42802"
